cluster_key,cluster_label,cluster_install_rank,is_next_for_cluster,rollout_status,installed,tower_id,label,display_name,display_type,source,impact_score,impact_people_est,impact_tower_count,next_unlock_count,backlink_count,primary_previous_tower_id,inter_cluster_neighbor_ids,inter_cluster_connections,blocked_reason,previous_connections,next_connections,lon,lat,location_status,location_en,location_ru,google_maps_url,osm_url
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",,false,blocked,false,21,mqtt #21,Mqtt 21,Mqtt 21,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,39.350084,43.906945,sparse,"43.90694, 39.35008","43.90694, 39.35008","https://maps.google.com/?q=43.906945,39.350084",https://www.openstreetmap.org/?mlat=43.906945&mlon=39.350084#map=14/43.906945/39.350084
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",,false,blocked,false,22,mqtt #22,Mqtt 22,Mqtt 22,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,39.320156,43.912139,sparse,"43.91214, 39.32016","43.91214, 39.32016","https://maps.google.com/?q=43.912139,39.320156",https://www.openstreetmap.org/?mlat=43.912139&mlon=39.320156#map=14/43.912139/39.320156
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",,false,blocked,false,23,mqtt #23,Giachrypsh / Васильковый переулок,Mqtt 23,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,39.961761,43.424819,osm_only,"Giachrypsh, near Васильковый переулок","Гячрыпш, рядом с Васильковый переулок","https://maps.google.com/?q=43.424819,39.961761",https://www.openstreetmap.org/?mlat=43.424819&mlon=39.961761#map=14/43.424819/39.961761
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",,false,blocked,false,25,mqtt #25,Министерские озёра,Mqtt 25,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,39.722938,43.574864,osm_only,Министерские озёра,Министерские озёра,"https://maps.google.com/?q=43.574864,39.722938",https://www.openstreetmap.org/?mlat=43.574864&mlon=39.722938#map=14/43.574864/39.722938
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",,false,blocked,false,29,mqtt #29,Mqtt 29,Mqtt 29,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,39.329832,43.924185,sparse,"43.92419, 39.32983","43.92419, 39.32983","https://maps.google.com/?q=43.924185,39.329832",https://www.openstreetmap.org/?mlat=43.924185&mlon=39.329832#map=14/43.924185/39.329832
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",,false,blocked,false,30,mqtt #30,Lakyrkha,Mqtt 30,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,39.980535,43.490296,osm_only,Lakyrkha,Лакырха,"https://maps.google.com/?q=43.490296,39.980535",https://www.openstreetmap.org/?mlat=43.490296&mlon=39.980535#map=14/43.490296/39.980535
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",,false,blocked,false,32,mqtt #32,Psou,Mqtt 32,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,39.921426,43.492655,osm_only,Psou,Псоу,"https://maps.google.com/?q=43.492655,39.921426",https://www.openstreetmap.org/?mlat=43.492655&mlon=39.921426#map=14/43.492655/39.921426
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",,false,blocked,false,34,mqtt #34,Mqtt 34,Mqtt 34,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,42.802636,43.909737,sparse,"43.90974, 42.80264","43.90974, 42.80264","https://maps.google.com/?q=43.909737,42.802636",https://www.openstreetmap.org/?mlat=43.909737&mlon=42.802636#map=14/43.909737/42.802636
seed:12+13+20+27,"Feria 2, Jvari, Poti, SoNick",,false,blocked,false,38,mqtt #38,Министерские озёра,Mqtt 38,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,39.771981,43.593670,osm_only,Министерские озёра,Министерские озёра,"https://maps.google.com/?q=43.593670,39.771981",https://www.openstreetmap.org/?mlat=43.593670&mlon=39.771981#map=14/43.593670/39.771981
seed:19,Tbilisi hackerspace,0,false,installed,true,19,Tbilisi hackerspace,Tbilisi hackerspace,Installed Seed,seed,0,0,0,0,0,,,,,,,44.771630,41.725256,geocoder_failed,"Saburtalo, near Pekini Avenue","Сабуртало, рядом с проспект Пекина","https://maps.google.com/?q=41.725256,44.771630",https://www.openstreetmap.org/?mlat=41.725256&mlon=44.771630#map=14/41.725256/44.771630
seed:19,Tbilisi hackerspace,1,true,next,false,41,mqtt #41,Mtatsminda District / Bolo Ascent,Mqtt 41,mqtt,1892961,1892961,13,2,1,19,,,,Tbilisi hackerspace (Installed Seed),"Samgori District / Levan Devdariani Street (Mqtt 1), Tbilisi / Estoneti Avenue (Mqtt 28)",44.788965,41.690153,geocoder_failed,"Mtatsminda District, near Bolo Ascent","район Мтацминда, рядом с подъём Боло","https://maps.google.com/?q=41.690153,44.788965",https://www.openstreetmap.org/?mlat=41.690153&mlon=44.788965#map=14/41.690153/44.788965
seed:19,Tbilisi hackerspace,2,false,planned,false,1,mqtt #1,Samgori District / Levan Devdariani Street,Mqtt 1,mqtt,1843909,1843909,12,2,1,41,,,,Mtatsminda District / Bolo Ascent (Mqtt 41),"Mtatsminda District / Trialeti Street (Mqtt 24), Vake District / Sopiko Chiaureli Street (Mqtt 31)",44.960426,41.705220,geocoder_failed,"Samgori District, near Levan Devdariani Street","район Самгори, рядом с улица Левана Девдариани","https://maps.google.com/?q=41.705220,44.960426",https://www.openstreetmap.org/?mlat=41.705220&mlon=44.960426#map=14/41.705220/44.960426
seed:19,Tbilisi hackerspace,3,false,planned,false,24,mqtt #24,Mtatsminda District / Trialeti Street,Mqtt 24,mqtt,1666065,1666065,11,1,1,1,,,,Samgori District / Levan Devdariani Street (Mqtt 1),Gldani District / Kontradmiral Aleksandre Javakhishvili Street (Mqtt 8),44.722252,41.681402,geocoder_failed,"Mtatsminda District, near Trialeti Street","район Мтацминда, рядом с улица Триалети","https://maps.google.com/?q=41.681402,44.722252",https://www.openstreetmap.org/?mlat=41.681402&mlon=44.722252#map=14/41.681402/44.722252
seed:19,Tbilisi hackerspace,4,false,planned,false,7,mqtt #7,Chugureti District / Mikheil Tsinamdzghvrishvili Street,Mqtt 7,mqtt,1666065,1666065,10,0,2,41,,,,"Mtatsminda District / Bolo Ascent (Mqtt 41), Tbilisi hackerspace (Installed Seed)",,44.799404,41.710808,geocoder_failed,"Chugureti District, near Mikheil Tsinamdzghvrishvili Street","район Чугурети, рядом с улица Михеила Цинамдзгвришвили","https://maps.google.com/?q=41.710808,44.799404",https://www.openstreetmap.org/?mlat=41.710808&mlon=44.799404#map=14/41.710808/44.799404
seed:19,Tbilisi hackerspace,5,false,planned,false,15,mqtt #15,Didube District / Kosmonavtebi Embankment,Mqtt 15,mqtt,1600835,1600835,9,0,3,7,,,,"Mtatsminda District / Bolo Ascent (Mqtt 41), Chugureti District / Mikheil Tsinamdzghvrishvili Street (Mqtt 7), Tbilisi hackerspace (Installed Seed)",,44.781281,41.728933,geocoder_failed,"Didube District, near Kosmonavtebi Embankment","район Дидубе, рядом с набережная Космонавтеби","https://maps.google.com/?q=41.728933,44.781281",https://www.openstreetmap.org/?mlat=41.728933&mlon=44.781281#map=14/41.728933/44.781281
seed:19,Tbilisi hackerspace,6,false,planned,false,33,mqtt #33,Mtatsminda District / Guram Rcheulishvili Street,Mqtt 33,mqtt,1530817,1530817,8,0,4,15,,,,"Didube District / Kosmonavtebi Embankment (Mqtt 15), Mtatsminda District / Bolo Ascent (Mqtt 41), Chugureti District / Mikheil Tsinamdzghvrishvili Street (Mqtt 7), Tbilisi hackerspace (Installed Seed)",,44.780104,41.703459,geocoder_failed,"Mtatsminda District, near Guram Rcheulishvili Street","район Мтацминда, рядом с улица Гурама Рчеулишвили","https://maps.google.com/?q=41.703459,44.780104",https://www.openstreetmap.org/?mlat=41.703459&mlon=44.780104#map=14/41.703459/44.780104
seed:19,Tbilisi hackerspace,7,false,planned,false,10,mqtt #10,Didube District / Akaki Tsereteli Avenue,Mqtt 10,mqtt,1530817,1530817,7,0,4,33,,,,"Didube District / Kosmonavtebi Embankment (Mqtt 15), Mtatsminda District / Guram Rcheulishvili Street (Mqtt 33), Mtatsminda District / Bolo Ascent (Mqtt 41), Tbilisi hackerspace (Installed Seed)",,44.790541,41.724117,geocoder_failed,"Didube District, near Akaki Tsereteli Avenue","район Дидубе, рядом с проспект Акакия Церетели","https://maps.google.com/?q=41.724117,44.790541",https://www.openstreetmap.org/?mlat=41.724117&mlon=44.790541#map=14/41.724117/44.790541
seed:19,Tbilisi hackerspace,8,false,planned,false,26,mqtt #26,Vake District / Archil Mishveladze Street,Mqtt 26,mqtt,1353603,1353603,4,0,4,10,,,,"Didube District / Akaki Tsereteli Avenue (Mqtt 10), Didube District / Kosmonavtebi Embankment (Mqtt 15), Chugureti District / Mikheil Tsinamdzghvrishvili Street (Mqtt 7), Tbilisi hackerspace (Installed Seed)",,44.751944,41.709411,geocoder_failed,"Vake District, near Archil Mishveladze Street","район Ваке, рядом с улица Арчила Мишвеладзе","https://maps.google.com/?q=41.709411,44.751944",https://www.openstreetmap.org/?mlat=41.709411&mlon=44.751944#map=14/41.709411/44.751944
seed:19,Tbilisi hackerspace,9,false,planned,false,18,mqtt #18,Vake District / Universiteti Street,Mqtt 18,mqtt,1241700,1241700,3,0,4,26,,,,"Didube District / Akaki Tsereteli Avenue (Mqtt 10), Vake District / Archil Mishveladze Street (Mqtt 26), Mtatsminda District / Guram Rcheulishvili Street (Mqtt 33), Tbilisi hackerspace (Installed Seed)",,44.733429,41.719035,geocoder_failed,"Vake District, near Universiteti Street","район Ваке, рядом с Университетская улица","https://maps.google.com/?q=41.719035,44.733429",https://www.openstreetmap.org/?mlat=41.719035&mlon=44.733429#map=14/41.719035/44.733429
seed:19,Tbilisi hackerspace,10,false,planned,false,37,mqtt #37,Vake District / Kalistrate Kutateladze Street,Mqtt 37,mqtt,1241700,1241700,2,0,4,18,,,,"Vake District / Universiteti Street (Mqtt 18), Vake District / Archil Mishveladze Street (Mqtt 26), Mtatsminda District / Guram Rcheulishvili Street (Mqtt 33), Tbilisi hackerspace (Installed Seed)",,44.743074,41.722713,geocoder_failed,"Vake District, near Kalistrate Kutateladze Street","район Ваке, рядом с улица Калистрата Кутателадзе","https://maps.google.com/?q=41.722713,44.743074",https://www.openstreetmap.org/?mlat=41.722713&mlon=44.743074#map=14/41.722713/44.743074
seed:19,Tbilisi hackerspace,11,false,planned,false,28,mqtt #28,Tbilisi / Estoneti Avenue,Mqtt 28,mqtt,1241700,1241700,1,0,3,37,,,,"Samgori District / Levan Devdariani Street (Mqtt 1), Vake District / Kalistrate Kutateladze Street (Mqtt 37), Mtatsminda District / Bolo Ascent (Mqtt 41)",,44.853719,41.656411,geocoder_failed,"Tbilisi, near Estoneti Avenue","Тбилиси, рядом с проспект Эстонети","https://maps.google.com/?q=41.656411,44.853719",https://www.openstreetmap.org/?mlat=41.656411&mlon=44.853719#map=14/41.656411/44.853719
seed:19,Tbilisi hackerspace,12,false,planned,false,31,mqtt #31,Vake District / Sopiko Chiaureli Street,Mqtt 31,mqtt,177214,177214,2,0,2,10,,,,"Samgori District / Levan Devdariani Street (Mqtt 1), Didube District / Akaki Tsereteli Avenue (Mqtt 10)",,44.694870,41.704315,geocoder_failed,"Vake District, near Sopiko Chiaureli Street","район Ваке, рядом с улица Софико Чиаурели","https://maps.google.com/?q=41.704315,44.694870",https://www.openstreetmap.org/?mlat=41.704315&mlon=44.694870#map=14/41.704315/44.694870
seed:19,Tbilisi hackerspace,13,false,planned,false,8,mqtt #8,Gldani District / Kontradmiral Aleksandre Javakhishvili Street,Mqtt 8,mqtt,177214,177214,1,0,2,31,,,,"Mtatsminda District / Trialeti Street (Mqtt 24), Vake District / Sopiko Chiaureli Street (Mqtt 31)",,44.822305,41.794602,geocoder_failed,"Gldani District, near Kontradmiral Aleksandre Javakhishvili Street","район Глдани, рядом с улица Контрадмирала Александре Джавахишвили","https://maps.google.com/?q=41.794602,44.822305",https://www.openstreetmap.org/?mlat=41.794602&mlon=44.822305#map=14/41.794602/44.822305
seed:19,Tbilisi hackerspace,,false,blocked,false,5,mqtt #5,Sajinibo,Mqtt 5,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,45.039024,41.943456,geocoder_failed,Sajinibo,Саджинибо,"https://maps.google.com/?q=41.943456,45.039024",https://www.openstreetmap.org/?mlat=41.943456&mlon=45.039024#map=14/41.943456/45.039024
seed:40,Yerevan,0,false,installed,true,40,Yerevan,Yerevan,Installed Seed,seed,0,0,0,0,0,,,,,,,44.508508,40.178038,geocoder_failed,"Yerevan, near Zakian street","Ереван, рядом с улица Закияна","https://maps.google.com/?q=40.178038,44.508508",https://www.openstreetmap.org/?mlat=40.178038&mlon=44.508508#map=14/40.178038/44.508508
seed:40,Yerevan,1,true,next,false,9,mqtt #9,Yerevan / Kievyan street,Mqtt 9,mqtt,0,0,3,0,1,40,,,,Yerevan (Installed Seed),,44.490824,40.196073,geocoder_failed,"Yerevan, near Kievyan street","Ереван, рядом с улица Киевян","https://maps.google.com/?q=40.196073,44.490824",https://www.openstreetmap.org/?mlat=40.196073&mlon=44.490824#map=14/40.196073/44.490824
seed:40,Yerevan,2,false,planned,false,16,mqtt #16,Yerevan / Victory Bridge,Mqtt 16,mqtt,0,0,2,0,2,9,,,,"Yerevan / Kievyan street (Mqtt 9), Yerevan (Installed Seed)",,44.499158,40.174437,geocoder_failed,"Yerevan, near Victory Bridge","Ереван, рядом с Мост Победы","https://maps.google.com/?q=40.174437,44.499158",https://www.openstreetmap.org/?mlat=40.174437&mlon=44.499158#map=14/40.174437/44.499158
seed:40,Yerevan,3,false,planned,false,39,mqtt #39,Yerevan / Norqi Ayginer street,Mqtt 39,mqtt,0,0,1,0,3,16,,,,"Yerevan / Victory Bridge (Mqtt 16), Yerevan / Kievyan street (Mqtt 9), Yerevan (Installed Seed)",,44.536571,40.188838,geocoder_failed,"Yerevan, near Norqi Ayginer street","Ереван, рядом с улица Норки Айгинер","https://maps.google.com/?q=40.188838,44.536571",https://www.openstreetmap.org/?mlat=40.188838&mlon=44.536571#map=14/40.188838/44.536571
seed:40,Yerevan,,false,blocked,false,4,mqtt #4,Marmarik / Hankavan-Hrazdan Highway,Mqtt 4,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,44.690800,40.554673,geocoder_failed,"Marmarik, near Hankavan-Hrazdan Highway","Marmarik, рядом с Hankavan-Hrazdan Highway","https://maps.google.com/?q=40.554673,44.690800",https://www.openstreetmap.org/?mlat=40.554673&mlon=44.690800#map=14/40.554673/44.690800
seed:40,Yerevan,,false,blocked,false,6,mqtt #6,Gyumri / Danielyan street,Mqtt 6,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,43.856973,40.812784,geocoder_failed,"Gyumri, near Danielyan street","Гюмри, рядом с Danielyan street","https://maps.google.com/?q=40.812784,43.856973",https://www.openstreetmap.org/?mlat=40.812784&mlon=43.856973#map=14/40.812784/43.856973
seed:40,Yerevan,,false,blocked,false,35,mqtt #35,Gyumri / Ghorghanayn Street,Mqtt 35,mqtt,0,0,0,0,0,,,,No visible path from an installed seed yet.,,,43.838016,40.797001,osm_only,"Gyumri, near Ghorghanayn Street","Гюмри, рядом с улица Горганяна","https://maps.google.com/?q=40.797001,43.838016",https://www.openstreetmap.org/?mlat=40.797001&mlon=43.838016#map=14/40.797001/43.838016
